State,CCN,ZIP Code
AK,27001,99501
AK,27001,99502
AK,27001,99503
AK,27001,99504
AK,27001,99505
AK,27001,99506
AK,27001,99507
AK,27001,99508
AK,27001,99509
AK,27001,99511
AK,27001,99515
AK,27001,99516
AK,27001,99517
AK,27001,99518
AK,27001,99524
AK,27001,99567
AK,27001,99577
AK,27001,99587
AK,27001,99603
AK,27001,99654
AK,27001,99669
AK,27001,99686
AK,27001,99709
AK,27001,99737
AK,27001,99801
AK,27002,99801
AK,27002,99802
AK,27002,99803
AK,27002,99821
AK,27002,99824
AK,27002,99827
AK,27006,99701
AK,27006,99702
AK,27006,99703
AK,27006,99705
AK,27006,99706
AK,27006,99707
AK,27006,99708
AK,27006,99709
AK,27006,99711
AK,27006,99712
AK,27006,99716
AK,27006,99725
AK,27008,99501
AK,27008,99502
AK,27008,99503
AK,27008,99504
AK,27008,99505
AK,27008,99506
AK,27008,99507
AK,27008,99508
AK,27008,99511
AK,27008,99515
AK,27008,99516
AK,27008,99517
AK,27008,99518
AK,27008,99567
AK,27008,99577
AK,27008,99623
AK,27008,99629
AK,27008,99632
AK,27008,99645
AK,27008,99652
AK,27008,99654
AK,27008,99674
AK,27008,99684
AK,27008,99687
AK,27008,99688
AK,27008,99694
AK,27009,99801
AK,27009,99833
AK,27010,99556
AK,27010,99603
AK,27010,99610
AK,27010,99639
AK,27014,99901
AK,27014,99919
AK,27014,99921
AK,27014,99922
AK,27014,99925
AK,27014,99928
AK,27014,99950
AK,27020,99568
AK,27020,99572
AK,27020,99610
AK,27020,99611
AK,27020,99635
AK,27020,99639
AK,27020,99669
AK,27020,99672
AK,27022,99501
AK,27022,99502
AK,27022,99503
AK,27022,99504
AK,27022,99506
AK,27022,99507
AK,27022,99508
AK,27022,99515
AK,27022,99516
AK,27022,99517
AK,27022,99518
AK,27022,99567
AK,27022,99577
AK,27032,99503
AK,27032,99507
AK,27032,99508
AK,27032,99516
AK,27032,99518
AK,27032,99623
AK,27032,99654
AK,27034,99501
AK,27034,99502
AK,27034,99503
AK,27034,99504
AK,27034,99506
AK,27034,99507
AK,27034,99508
AK,27034,99511
AK,27034,99515
AK,27034,99516
AK,27034,99517
AK,27034,99518
AK,27034,99567
AK,27034,99577
AK,27035,99501
AK,27035,99502
AK,27035,99503
AK,27035,99504
AK,27035,99505
AK,27035,99507
AK,27035,99508
AK,27035,99509
AK,27035,99515
AK,27035,99516
AK,27035,99517
AK,27035,99518
AK,27035,99567
AK,27035,99577
AK,27036,99501
AK,27036,99502
AK,27036,99503
AK,27036,99504
AK,27036,99507
AK,27036,99508
AK,27036,99515
AK,27036,99516
AK,27036,99517
AK,27036,99518
AK,27036,99519
